"Id","PartNumber","Name","Price","Unit","Photopath","VendorId"
"1","3367-844620-OBAPRXYD-GEN","Generous Pluto Perception","$639.63","kilojoule (kJ)","d:\users\sarah3367\generous-pluto-perception.bmp","29"
"2","1966-1950-SXWWQIL-DIA","Diagnostic Radio Astrometry Function","$3,125.64","kilowatt hours per square foot (kWh/)",,"42"
"3","JNWBL-8283-2450-ATH","Athletic Stellar Tracking Moderator","$2,633.90","square inch (in²)","c:\users\christjnwbl\athletic-stellar-tracking-moderator.gif","39"
"4","7869-1835170-LAOXJZZ-BRADL","Bradley Interplanetary Activation","$18,377.21","milligram (mg)",,"16"
"5","9212-8470-ZYXJIPGM-REA","Realistic Angular Separation","$44,320.34","kilowatt hour (kWh)",,"21"
"6","CONSCI-825-44710-OMAAOA","Conscious Solar Magnetism Afford","$462.75","cycles per minute (cpm)",,"29"
"7","NERVO-5580-LVEIRDR-1696","Nervous Altitude Depression","$189.16","megajoules per square foot (MJ/ft²)","d:\users\dorisnervo\nervous-altitude-depression.gif","34"
"8","BUSWUDZ-924-99930-HAR","Harley Magellanic Stream Proportion","$1,565.90","pixel (px)",,"11"
"9","MAGNE-KCGKSO-2907-37160","Magnetic Relativity Boards","$1,587.53","yard (yd)","d:\users\kimbermagne\magnetic-relativity-boards.bmp","2"
"10","4590-NRKQUQ-986-FABULO","Fabulous Shell Extraction","$20,075.96","kilowatt hours per square meter (kWh)","c:\users\sean4590\fabulous-shell-extraction.bmp","49"
"11","952-10840-SXJAJ-AUT","Authentic Level Satisfaction","$177.70","gallon (gal)","d:\users\britta952\authentic-level-satisfaction.png","25"
"12","894880-JQBYDCY-5457-ANO","Anonymous Solar Nebulae Operator","$31,248.37","candelas per square meter (cd/m²)","c:\users\alexan894880\anonymous-solar-nebulae-operator.jpeg","10"
"13","9900-582880-PTDWCDT-WIL","Wiley Coronographic Imaging Profession","$13,184.08","megajoules per square foot (MJ/ft²)","d:\users\doroth9900\wiley-coronographic-imaging-profession.jpg","25"
"14","10780-RHJEJ-9669-DRAM","Dramatic Descending Confusion","$198.23","amperes per square meter (A/m²)","d:\users\josie10780\dramatic-descending-confusion.bmp","30"
"15","CEL-OZFZTJB-8455-72180","Celtic Inclination","$30,058.08","milliwatt (mW)",,"44"
"16","WIL-7053100-OPLNUFP-2329","Wiley Water Replication","$1,766.89","calorie (cal)","c:\users\hannawil\wiley-water-replication.gif","33"
"17","FANTAST-NQFNKIKL-3289-3380","Fantastic Emerging Transaction","$868.60","ohm (Ω)","c:\users\russelfantast\fantastic-emerging-transaction.gif","9"
"18","MISCELL-1601-158790-NSXQTU","Miscellaneous Supergalactic Longitude Signal","$2,073.83","pixel (px)","c:\users\melanimiscell\miscellaneous-supergalactic-longitude-signal.ico","34"
"19","1540-875670-ZVYCOMLW-PRECI","Precious Trans-Plutonian Destruction","$8,997.27","megaVolt (MV)","d:\users\isaiah1540\precious-trans-plutonian-destruction.ico","38"
"20","7637-2750-BQAUR-FAM","Famous Herbig Ae/Be Navigator","$11,381.60","foot (ft)","d:\users\kevin7637\famous-herbig-ae/be-navigator.gif","38"
"21","ARTIS-8791-91880-RMSXHR","Artistic Gravity Darkening Permission","$881.45","foot pounds per second (ftlbs/sec)",,"20"
"22","STAT-ROURW-5561-6310","Static Sunspot Imagination","$2,341.00","cycles per hour (cph)",,"41"
"23","CUR-4722160-ZUCLVVM-368","Curious Population Cepheid Conventional","$1,164.74","inch (in)","d:\users\marycur\curious-population-cepheid-conventional.ico","4"
"24","167-42150-VVEUWFO-FAM","Famous Fundamental Translation","$40,469.01","therms per hour (therm/h)","d:\users\jackso167\famous-fundamental-translation.jpeg","28"
"25","NUMERO-GRVWB-515-705370","Numerous Domain (string Theory) Function","$369.95","kilobtu (kBTU)",,"37"
"26","OBV-305-7337440-JLFCQEF","Obvious Compactification","$404.45","quart (qt)","d:\users\seanobv\obvious-compactification.jpg","49"
"27","SYNTH-SLPCRWFH-634-29840","Synthetic Comet Nutritional","$1,302.65","cubic meter (m³)","d:\users\ruthsynth\synthetic-comet-nutritional.gif","36"
"28","LFDGIV-618-722280-CONTINU","Continuous Interferometry Union","$9,240.11","petabyte (PB)",,"14"
"29","HAR-546910-KLEBBEUM-608","Harley Formulae Edition","$16,395.92","square kilometer (km²)","c:\users\erikhar\harley-formulae-edition.png","47"
"30","HARL-QJOVX-7773-779110","Harley Extended Collaboration","$382.51","month (mo)","c:\users\kathyharl\harley-extended-collaboration.bmp","34"
"31","645790-XQZHTPMW-3663-TREMEND","Tremendous Primordial Black Reflection","$26,542.12","therms per hour (therm/h)","c:\users\victor645790\tremendous-primordial-black-reflection.png","11"
"32","LZQTA-5862-65100-ANONYMO","Anonymous Individual Planetary Nebulae Arbitration","$7,614.06","volt ampere (VA)","c:\users\stevenlzqta\anonymous-individual-planetary-nebulae-arbitration.png","31"
"33","ART-8320-GWIZEHY-8293","Artistic Syzygy Appreciation","$46,887.91","kilojoules per hour (kJ/h)","d:\users\stephaart\artistic-syzygy-appreciation.jpg","20"
"34","AQUA-2236-4612310-NDIUL","Aquatic Protection","$24,641.87","mile (mi)",,"47"
"35","HAZ-854570-IOOSQFOV-6672","Hazardous Active Collaboration","$367.52","centimeter (cm)","c:\users\joyhaz\hazardous-active-collaboration.ico","20"
"36","1699-817690-FRZLEY-FAB","Fabulous Diffuse Nebulae Limitation","$27,731.42","megajoule (MJ)","d:\users\eugene1699\fabulous-diffuse-nebulae-limitation.ico","6"
"37","8038-87380-XFPNTQU-INFEC","Infectious Primary Journal","$953.89","pixel (px)","c:\users\jane8038\infectious-primary-journal.gif","26"
"38","SYS-6090-XXPQY-586","Systematic Hubble Precipitation","$2,548.13","ohm (Ω)",,"17"
"39","ACOUS-VNPOFCLX-8774-8100","Acoustic Density Model Violation","$273.48","henry (H)",,"15"
"40","MISCELL-4927-146120-MLDWVKCA","Miscellaneous Occulting Religion","$7,115.16","milligram (mg)",,"24"
"41","XYXHZ-4911-5513270-CUR","Curious Head-tail Editor","$8,665.21","yard (yd)","d:\users\claudixyxhz\curious-head-tail-editor.png","39"
"42","ARCT-2485-4345160-TQJHH","Arctic Zenith Hourly Specification","$3,652.08","farad (F)","c:\users\delilaarct\arctic-zenith-hourly-specification.bmp","29"
"43","AUTHE-MTYUUU-384-2310","Authentic Phase Identification","$14,171.64","microsecond (us)",,"38"
"44","NUME-BMXZO-726-9820","Numerous Galactic Distribution","$2,064.50","square yard (yd²)","d:\users\jaimenume\numerous-galactic-distribution.jpg","40"
"45","8390-BPPUBGGA-4336-CURIO","Curious Milky Formation","$8,177.27","megaVolt (MV)","c:\users\alisa8390\curious-milky-formation.bmp","3"
"46","JHNSEHV-5184-317650-VAL","Valley Extreme Carbon Signal","$982.56","watts per square meter irradiance (W/m²)",,"26"
"47","MISCEL-4976-32130-MJDIWFMD","Miscellaneous Gravitational Instability Crossword","$959.92","square mile (mile²)",,"48"
"48","9505-2865990-RGCARQ-BRAD","Bradley Orientation","$902.52","volt ampere hour (VAh)","c:\users\alyssa9505\bradley-orientation.jpg","40"
"49","PREV-DIBIXAH-2466-826580","Previous Radio Astronomy Election","$373.92","joules per square meter (J/m²)",,"31"
