"Id","PartNumber","Name","Price","Unit","Photopath","VendorId"
"1","DWMGO-7274-836590-AUTHEN","Authentic Flash Spectra Occupational","$121.67","pixel (px)","d:\users\adriandwmgo\authentic-flash-spectra-occupational.jpg","42"
"2","FBLAODIC-6201-3912290-THE","Therapeutic Gauge-gravity Correspondence Cards","$9,772.77","joules per square meter (J/m²)","c:\users\amberfblaodic\therapeutic-gauge-gravity-correspondence-cards.jpg","17"
"3","2810-ZCTCG-4956-HAR","Harley Heliosheath Motion","$224.36","hectoliter (hL)","c:\users\erik2810\harley-heliosheath-motion.png","27"
"4","6120-ETMKQVY-4671-TRE","Tremendous Ultraviolet Astronomy Transmission","$900.71","byte (B)","c:\users\sage6120\tremendous-ultraviolet-astronomy-transmission.ico","42"
"5","7251-8220-HAXYTZRP-ERO","Erotic Occultation","$2,739.60","kilobyte (kB)","d:\users\anabel7251\erotic-occultation.ico","20"
"6","HEZRKY-6999-7090-STAT","Static Stellar Accretion","$973.02","kiloliter (kL)","d:\users\vivianhezrky\static-stellar-accretion.jpeg","39"
"7","GKHQUL-746-101050-HAR","Harley Cocoon Inspiration","$77,011.89","hertz (Hz)","d:\users\jewelgkhqul\harley-cocoon-inspiration.png","19"
"8","REALIS-3007-770790-KVXZF","Realistic Observational Astronomy Regulation","$818.09","millimeter (mm)","d:\users\kimberrealis\realistic-observational-astronomy-regulation.bmp","9"
"9","DEMOCRA-7185-3474560-JWGESQP","Democratic Heliopause Correction","$85,793.23","megabyte (MB)",,"15"
"10","ASCINR-5765-909630-AUTHENT","Authentic Forbush Effect","$512.91","imperial gallon (galUK)","c:\users\julietascinr\authentic-forbush-effect.ico","36"
"11","7893-3120-AEFZBWSU-ATLA","Atlantic Visual Binary Discretion","$3,347.62","kilobtu (kBTU)",,"49"
"12","WESL-TGAGQR-9496-5035820","Wesley Core-collapse Supernovae Deviation","$782.03","watt (W)",,"16"
"13","VAL-3376550-QIWMKFW-855","Valley Hubble Diagram Information","$16,061.04","square millimeter (mm²)","d:\users\melissval\valley-hubble-diagram-information.ico","18"
"14","5557940-PXNQSPQ-8071-DRA","Dramatic Ptolemy Fusion","$968.55","week (wk)","d:\users\wayne5557940\dramatic-ptolemy-fusion.gif","22"
"15","748-42850-QWPHWW-ANO","Anonymous Emerging Vegetation","$6,150.70","watt (W)","d:\users\sasha748\anonymous-emerging-vegetation.ico","8"
"16","REAL-5180-RFZCH-590","Realistic Annual Equation","$9,623.85","kilopound (klb)","c:\users\williareal\realistic-annual-equation.bmp","4"
"17","8140-8664450-EEKWTZQ-GENER","Generous Resonant Kuiper Distribution","$317.89","megajoules per square foot (MJ/ft²)","d:\users\valeri8140\generous-resonant-kuiper-distribution.jpg","7"
"18","ENORMO-574-143660-DXJEYGYN","Enormous Grazing Incidence Fashion","$3,727.22","square centimeter (cm²)",,"31"
"19","WESL-9541-9370-UPOGCUTW","Wesley Theory Fraction","$570.27","megabyte (MB)","c:\users\marishwesl\wesley-theory-fraction.ico","16"
"20","4470-ZRRLWWE-5743-FABUL","Fabulous Intermediate Promotion","$65,473.83","week (wk)","c:\users\alan4470\fabulous-intermediate-promotion.jpeg","35"
"21","ATLAN-747000-KLNZI-2183","Atlantic Orbital Evolution","$7,638.73","inch (in)","c:\users\brookeatlan\atlantic-orbital-evolution.jpg","23"
"22","GEN-26230-KBNPIKEO-8574","Genetic Asteroid Invision","$557.71","grams per square meter (g/m²)",,"32"
"23","8799-68550-VHZKSE-FANTAST","Fantastic Extreme Population","$1,654.83","coulomb (C)","d:\users\mitch8799\fantastic-extreme-population.jpeg","43"
"24","EVUYVYO-6043-410650-DELICIO","Delicious Major Nomination","$226.72","square inch (in²)",,"33"
"25","FPKQH-524-61720-FANTA","Fantastic Ionized Interstellar Preparation","$8,136.36","megawatt (MW)",,"20"
"26","CELT-TPDPAESG-2230-6394300","Celtic Radio Astrometry Personal","$419.81","farad (F)","c:\users\kaylacelt\celtic-radio-astrometry-personal.ico","10"
"27","CHARACT-3931-4870-NEDWJ","Characteristic Distance Pavilion","$198.98","week (wk)","c:\users\shirlecharact\characteristic-distance-pavilion.png","25"
"28","61400-CFQII-644-DELICI","Delicious Supersymmetric Standard Model Insertion","$626.84","kilopound (klb)",,"18"
"29","TDTUQX-2231-1590-ACO","Acoustic Milky Completion","$738.97","cycles per hour (cph)","c:\users\danieltdtuqx\acoustic-milky-completion.gif","6"
"30","OBVIO-MAVFWVQZ-4615-46780","Obvious Interplanetary Scintillation","$8,505.36","meter (m)","d:\users\patricobvio\obvious-interplanetary-scintillation.gif","39"
"31","STAN-2727120-CPVFB-1506","Stanley X-ray Motion","$4,321.57","square foot (ft²)","d:\users\josephstan\stanley-x-ray-motion.jpeg","2"
"32","1975440-CVPYXPF-8391-NUMERO","Numerous Carbon Dioxide Provision","$465.49","meter (m)","c:\users\kayla1975440\numerous-carbon-dioxide-provision.bmp","15"
"33","DAN-6447-231610-VHPOWG","Dangerous Altitude Angle Sponsor","$11,645.54","tesla (T)","d:\users\irisdan\dangerous-altitude-angle-sponsor.jpeg","8"
"34","OBV-UAPEEEL-4417-4630","Obvious Nebulae Destruction","$993.27","lumen (lm)","d:\users\allisoobv\obvious-nebulae-destruction.bmp","7"
"35","956-61930-NFIBWT-COS","Cosmetic Ultraviolet Integration","$18,598.34","kilobtu (kBTU)",,"5"
"36","WIL-9467250-OFLCV-1045","Wiley Gödel Universe Processor","$934.58","watts per square meter (W/m²)","d:\users\ruthwil\wiley-gödel-universe-processor.jpg","28"
"37","ATLA-JVJAYJYA-144-4541780","Atlantic Recombination (cosmology) Inflation","$586.08","megajoule (MJ)","d:\users\evelynatla\atlantic-recombination-(cosmology)-inflation.png","47"
"38","BDMUFD-5880-5180-CEL","Celtic Zenith Hourly Discretion","$2,269.07","amperes per square meter (A/m²)","d:\users\ivybdmufd\celtic-zenith-hourly-discretion.gif","32"
"39","HQORPXOB-137-2210-GENE","Genetic Close Profession","$9,035.13","henry (H)","c:\users\audreyhqorpxob\genetic-close-profession.jpg","17"
"40","119-120600-FBFBZCA-RELI","Religious Semimajor Obligation","$837.71","week (wk)","c:\users\niki119\religious-semimajor-obligation.png","43"
"41","1799990-QFQWBDK-7491-DEL","Delicious Galactic Longitude Information","$742.92","metric ton (ton)",,"21"
"42","AUTOMAT-468-554670-GXCIF","Automatic E-folding Transportation","$1,770.89","coulomb (C)","d:\users\paulautomat\automatic-e-folding-transportation.jpg","22"
"43","ATH-MNXCGXWH-7060-4230","Athletic Transfer Concord","$222.03","cubic meter (m³)","d:\users\liamath\athletic-transfer-concord.png","9"
"44","AZZGMY-7542-4790-REALIST","Realistic Mercury-manganese Cursor","$179.02","grams per square meter (g/m²)",,"6"
"45","CELT-598-469110-PXFWUUHY","Celtic Holographic Interferometry Consumption","$5,705.70","gigabyte (GB)","c:\users\mirandcelt\celtic-holographic-interferometry-consumption.ico","5"
"46","ASH-1120-EKVPGHHQ-1514","Ashley Osculatory Radiation","$475.61","square millimeter (mm²)","c:\users\johnash\ashley-osculatory-radiation.jpg","13"
"47","7646-6530-VNNTOQYX-DANG","Dangerous Planetary Alignment Compensation","$2,589.81","weber (Wb)","d:\users\maggie7646\dangerous-planetary-alignment-compensation.bmp","25"
"48","7819-62840-JHYGIQ-ANON","Anonymous Proper Prevention","$6,892.30","therms per hour (therm/h)","c:\users\michae7819\anonymous-proper-prevention.jpg","19"
"49","FIIND-2962-71690-ATHLE","Athletic Laser Interferometry Organisation","$676.37","foot (ft)",,"35"
"50","BRADL-VAPXW-6807-3242620","Bradley Kepler Interest Duration","$4,816.08","horsepower (hp)","d:\users\melanibradl\bradley-kepler-interest-duration.png","47"
"51","DELICIO-740080-GBEYE-7676","Delicious Steady-state Theory Discretion","$5,844.09","megajoules per hour (MJ/h)",,"1"
"52","MISCEL-YLVJUQK-312-45440","Miscellaneous Lunar Petrology Addition","$1,862.22","megawatt hour (MWh)","d:\users\nancymiscel\miscellaneous-lunar-petrology-addition.png","50"
"53","VARIO-8062-21690-MYKIKEA","Various Gamma-ray Population","$134.19","btus per hour (BTU/h)",,"39"
"54","GENE-KFAOGS-1789-8840","Generous Protection","$975.35","quart (qt)","c:\users\matthegene\generous-protection.gif","18"
